embedding_x,embedding_y,embedding_z,embedding_w,embedding_l
12.000524,7.7310476,-4.017247,3.1585321,4.89014
13.002488,8.011368,-1.156216,2.8835948,4.0146794
12.553072,7.856841,-2.88203,2.952541,4.3422976
3.2186153,9.435222,9.856925,1.9389253,5.1401863
6.002084,11.833346,7.188203,7.9427514,10.953426
13.186419,7.292531,-2.0809274,2.9729676,3.5635345
12.111272,7.99188,-4.4353385,2.902452,5.003928
2.1277728,14.651285,1.8579898,5.740937,3.4552011
11.570303,7.80745,-4.6543274,3.2312498,5.4034357
7.6615396,5.482412,10.377486,-3.8365514,10.8768015
11.683166,3.3123143,5.1784534,15.250014,4.2565455
3.1901336,9.661237,10.420391,1.9609853,5.807196
12.264155,8.593998,-5.3089185,2.4550922,5.3430386
6.0907373,11.690351,6.798517,8.485455,10.866945
12.476514,7.8920035,-3.0018528,3.0178165,4.477443
12.26638,8.598741,-5.315371,2.4521902,5.344872
6.293095,-0.90345114,2.7119331,1.1331302,7.0448565
3.1441414,9.453138,10.585877,1.9479991,5.756197
5.770014,3.9618683,5.9607735,-2.1030114,-3.974936
12.136397,8.360262,-5.0201106,2.6253424,5.2652116
12.101934,8.106046,-4.677763,2.8251343,5.0779986
7.6319475,13.219669,10.32304,2.759057,2.8620234
12.802737,7.3275642,-2.6662402,2.8672645,3.6923068
18.46084,6.7001233,7.9693313,4.077369,1.8301172
12.124108,7.967676,-4.391393,2.918247,4.9728117
5.772539,3.957332,5.959613,-2.1072912,-3.9824533
15.941925,5.377521,10.156295,1.8183824,4.6434956
7.323511,12.286767,6.3434463,5.996995,14.293743
17.527409,6.8770485,6.6366673,3.4946618,5.28193
14.110832,3.9341958,13.491994,5.417527,4.7816443
10.886434,7.4190874,-4.4850044,3.735221,5.7885003
17.554321,6.92256,7.3572836,3.5525398,4.707419
7.553929,12.865343,6.193375,5.3343406,14.335991
9.976932,0.44437328,6.950799,11.913642,6.013314
3.1646109,9.11802,9.511184,2.0313313,4.612297
18.517859,6.708989,7.9467387,4.1157155,1.7801306
12.267354,8.596509,-5.310484,2.4525826,5.3443494
18.058386,6.733613,7.7992034,3.5518446,3.3701847
11.912113,8.058176,-4.781135,2.9254632,5.222377
16.258825,5.5235586,10.375361,1.9626698,4.4537206
18.798975,6.8430943,7.758137,4.408054,1.3177258
15.4920435,7.5799246,1.2168797,5.0622573,4.263986
11.046291,6.4862795,-5.069523,4.7730813,5.1404576
5.9903827,11.819857,6.581567,8.958347,10.673643
7.320684,12.795337,6.4971123,5.7575383,13.815858
7.3027105,12.752749,6.513402,5.8031764,13.804367
13.262711,4.717049,12.943681,2.0380874,5.421512
12.267912,8.607755,-5.328769,2.4471447,5.345215
17.429201,6.9241776,7.3784585,3.5201163,4.8964543
17.251324,6.637333,6.6058664,2.6808426,5.755852
7.2810607,12.371349,6.4163136,5.848068,14.459827
0.79565805,4.0624375,17.072681,3.9204164,4.1819534
0.4025412,6.315938,4.849358,14.125558,5.091984
0.29258788,6.003586,5.42641,6.054055,15.242672
15.899075,7.537636,1.3152384,5.9246936,4.3807063
7.3403215,-0.97755414,2.6379135,-0.23290516,8.552437
0.8036918,3.976994,5.1179695,14.441424,3.963395
15.306878,5.1866813,11.347373,2.3755422,4.628964
0.38820374,6.0992527,5.5221667,5.9583817,15.338603
6.124886,11.677128,6.9276466,8.24686,10.906689
5.4979925,0.27810267,3.280878,0.7180256,0.90462327
7.673592,5.483389,10.377402,-3.8173525,10.870226
4.008787,17.91191,4.397229,3.7031288,3.0113637
5.9031854,-0.65949017,2.6024714,1.4931024,6.6386895
1.0532479,15.473289,7.103629,3.2973933,3.751053
-5.6476216,4.849841,5.6309023,4.4257355,4.94463
12.264766,8.6013565,-5.3203263,2.4519317,5.3419967
17.365377,6.8764005,6.9754953,3.3828776,5.2663417
12.2557745,8.595592,-5.3190527,2.4620557,5.32899
11.651877,7.471803,-3.8030725,3.569618,5.0494113
12.121804,7.9783373,-4.407132,2.9061716,4.982406
11.138775,7.525145,-5.0900517,3.7125285,5.5580034
5.7687016,3.9757943,5.954861,-2.0893395,-3.9325898
7.578043,-1.0386871,2.4593,0.6679292,10.491528
5.7724667,3.9573197,5.9594927,-2.1073718,-3.9824638
3.909947,17.812986,4.491065,3.796646,3.097163
13.037926,8.0129795,-1.1168983,2.93007,4.0490413
12.130285,8.359323,-5.021969,2.6295853,5.2682676
10.326923,6.738648,-5.7601676,4.553478,5.0844717
7.1938605,12.753883,6.6567144,5.970071,13.496109
5.7691374,3.974885,5.954366,-2.0896688,-3.9339578
12.287748,7.597597,-2.8868647,3.3824327,4.5606475
7.577,-1.036825,2.461597,0.6607443,10.476325
13.506274,4.9315133,13.073528,2.9394004,5.4665694
5.7635636,11.13629,6.561025,9.20382,11.335639
15.769004,7.550838,1.1353354,5.96688,4.214011
-3.4900694,11.0421295,3.753004,5.1458125,4.846787
7.308457,12.38026,6.376288,5.798759,14.534931
0.3660088,6.0770845,5.4999743,5.98056,15.316389
15.213233,7.3319926,0.5007871,5.8738093,4.354765
16.188694,5.5422773,10.087217,1.8761345,4.5756555
3.1666675,9.126224,9.527955,2.0309992,4.63013
18.881815,6.6280518,8.005327,4.344042,0.9019443
7.0839014,-1.2156807,6.2127633,10.160363,2.5478835
13.101164,7.3547173,-2.1649084,2.911336,3.6201894
9.966943,0.46082824,6.9217367,11.907336,5.997766
12.2123,8.539754,-5.259271,2.5106916,5.293346
10.906174,7.591896,-4.6219335,3.4399877,6.078213
7.298033,12.351514,6.3786373,5.7980433,14.536092
17.73859,6.5986753,4.898008,3.7666707,6.663685
15.589704,7.514504,0.9010044,6.0916367,4.11939
7.012153,-1.3878063,2.439613,-1.7892295,9.518683
-5.6623588,4.8480105,5.632072,4.422187,4.943983
12.925343,7.8988376,-1.6005332,2.3668096,3.4525058
0.26095536,5.9717383,5.394442,6.085934,15.210262
2.270303,14.808886,1.939586,5.834293,3.2792416
13.236317,7.938344,-0.9313692,2.9940548,4.0155864
15.52796,7.4242096,0.8386497,5.9752493,4.3477545
6.9565125,-1.1822865,6.212691,10.202294,2.0083456
5.7757525,3.9688396,5.9509053,-2.0981743,-3.941128
11.050626,6.812675,-4.93499,4.4128137,5.23804
6.9317913,-1.1267048,6.193362,10.331943,1.843608
0.8720752,3.8985069,5.1824236,14.506435,3.8942695
